------------------------
 θ (radians)   | I(θ)
     -0.017296 | 29.877713
     -0.014151 | 30.882497
     -0.011007 | 31.705624
     -0.007862 | 32.334419
     -0.004717 | 32.759138
     -0.001572 | 32.973168
      0.001572 | 32.973168
      0.004717 | 32.759138
      0.007862 | 32.334419
      0.011007 | 31.705624
      0.014151 | 30.882497
      0.017296 | 29.877713
      0.020441 | 28.706611
      0.023586 | 27.386877
      0.026730 | 25.938184
      0.029875 | 24.381787
      0.033020 | 22.740099
      0.036164 | 21.036245
      0.039309 | 19.293606
      0.042454 | 17.535377
      0.045599 | 15.784125
      0.048743 | 14.061384
      0.051888 | 12.387275
      0.055033 | 10.780167
      0.058178 | 9.256388
      0.061322 | 7.829988
      0.064467 | 6.512564
      0.067612 | 5.313132
      0.070757 | 4.238077
      0.073901 | 3.291150
      0.077046 | 2.473531
      0.080191 | 1.783941
      0.083336 | 1.218813
      0.086480 | 0.772496
      0.089625 | 0.437505
      0.092770 | 0.204799
      0.095914 | 0.064078
      0.099059 | 0.004101
      0.102204 | 0.012997
      0.105349 | 0.078586
      0.108493 | 0.188681
      0.111638 | 0.331378
      0.114783 | 0.495313
      0.117928 | 0.669900
      0.121072 | 0.845527
      0.124217 | 1.013718
      0.127362 | 1.167252
      0.130507 | 1.300243
      0.133651 | 1.408185
      0.136796 | 1.487943
      0.139941 | 1.537723
      0.143086 | 1.556998
      0.146230 | 1.546406
      0.149375 | 1.507627
      0.152520 | 1.443231
      0.155665 | 1.356522
      0.158809 | 1.251361
      0.161954 | 1.131997
      0.165099 | 1.002889
      0.168243 | 0.868543
      0.171388 | 0.733353
      0.174533 | 0.601461
      0.177678 | 0.476637
      0.180822 | 0.362172
      0.183967 | 0.260802
      0.187112 | 0.174655
      0.190257 | 0.105210
      0.193401 | 0.053299
      0.196546 | 0.019113
      0.199691 | 0.002236
      0.202836 | 0.001703
      0.205980 | 0.016057
      0.209125 | 0.043437
      0.212270 | 0.081658
      0.215415 | 0.128308
      0.218559 | 0.180845
      0.221704 | 0.236684
      0.224849 | 0.293294
      0.227993 | 0.348276
      0.231138 | 0.399439
      0.234283 | 0.444861
      0.237428 | 0.482940
      0.240572 | 0.512430
      0.243717 | 0.532465
      0.246862 | 0.542563
      0.250007 | 0.542626
      0.253151 | 0.532920
      0.256296 | 0.514045
      0.259441 | 0.486899
      0.262586 | 0.452631
      0.265730 | 0.412585
      0.268875 | 0.368249
      0.272020 | 0.321191
      0.275165 | 0.273004
      0.278309 | 0.225251
      0.281454 | 0.179410
      0.284599 | 0.136829
      0.287743 | 0.098686
      0.290888 | 0.065956
      0.294033 | 0.039389
      0.297178 | 0.019492
      0.300322 | 0.006525
      0.303467 | 0.000505
      0.306612 | 0.001212
      0.309757 | 0.008211
      0.312901 | 0.020875
      0.316046 | 0.038414
      0.319191 | 0.059909
      0.322336 | 0.084352
      0.325480 | 0.110677
      0.328625 | 0.137805
      0.331770 | 0.164676
      0.334915 | 0.190287
      0.338059 | 0.213720
      0.341204 | 0.234171
      0.344349 | 0.250972
      0.347493 | 0.263605
      0.350638 | 0.271716
      0.353783 | 0.275118
      0.356928 | 0.273791
      0.360072 | 0.267875
      0.363217 | 0.257658
      0.366362 | 0.243564
      0.369507 | 0.226129
      0.372651 | 0.205981
      0.375796 | 0.183816
      0.378941 | 0.160372
      0.382086 | 0.136401
      0.385230 | 0.112650
      0.388375 | 0.089829
      0.391520 | 0.068595
      0.394665 | 0.049529
      0.397809 | 0.033125
      0.400954 | 0.019772
      0.404099 | 0.009748
      0.407243 | 0.003216
      0.410388 | 0.000222
      0.413533 | 0.000696
      0.416678 | 0.004464
      0.419822 | 0.011252
      0.422967 | 0.020700
      0.426112 | 0.032378
      0.429257 | 0.045802
      0.432401 | 0.060448
      0.435546 | 0.075774
      0.438691 | 0.091235
      0.441836 | 0.106302
      0.444980 | 0.120477
      0.448125 | 0.133305
      0.451270 | 0.144392
      0.454415 | 0.153410
      0.457559 | 0.160106
      0.460704 | 0.164308
      0.463849 | 0.165928
      0.466994 | 0.164960
      0.470138 | 0.161477
      0.473283 | 0.155629
      0.476428 | 0.147631
      0.479572 | 0.137760
      0.482717 | 0.126337
      0.485862 | 0.113724
      0.489007 | 0.100306
      0.492151 | 0.086481
      0.495296 | 0.072647
      0.498441 | 0.059189
      0.501586 | 0.046471
      0.504730 | 0.034824
      0.507875 | 0.024538
      0.511020 | 0.015853
      0.514165 | 0.008956
      0.517309 | 0.003978
      0.520454 | 0.000989
      0.523599 | 0.000000
      0.526744 | 0.000964
      0.529888 | 0.003781
      0.533033 | 0.008301
      0.536178 | 0.014328
      0.539322 | 0.021633
      0.542467 | 0.029955
      0.545612 | 0.039014
      0.548757 | 0.048517
      0.551901 | 0.058169
      0.555046 | 0.067679
      0.558191 | 0.076768
      0.561336 | 0.085179
      0.564480 | 0.092680
      0.567625 | 0.099072
      0.570770 | 0.104192
      0.573915 | 0.107918
      0.577059 | 0.110168
      0.580204 | 0.110904
      0.583349 | 0.110129
      0.586494 | 0.107888
      0.589638 | 0.104263
      0.592783 | 0.099372
      0.595928 | 0.093363
      0.599072 | 0.086408
      0.602217 | 0.078701
      0.605362 | 0.070450
      0.608507 | 0.061872
      0.611651 | 0.053185
      0.614796 | 0.044605
      0.617941 | 0.036338
      0.621086 | 0.028578
      0.624230 | 0.021500
      0.627375 | 0.015256
      0.630520 | 0.009973
      0.633665 | 0.005752
      0.636809 | 0.002663
      0.639954 | 0.000745
      0.643099 | 0.000010
      0.646244 | 0.000436
      0.649388 | 0.001979
      0.652533 | 0.004563
      0.655678 | 0.008092
      0.658822 | 0.012450
      0.661967 | 0.017503
      0.665112 | 0.023105
      0.668257 | 0.029100
      0.671401 | 0.035329
      0.674546 | 0.041630
      0.677691 | 0.047845
      0.680836 | 0.053822
      0.683980 | 0.059420
      0.687125 | 0.064509
      0.690270 | 0.068976
      0.693415 | 0.072725
      0.696559 | 0.075679
      0.699704 | 0.077783
      0.702849 | 0.079001
      0.705994 | 0.079319
      0.709138 | 0.078744
      0.712283 | 0.077301
      0.715428 | 0.075036
      0.718572 | 0.072012
      0.721717 | 0.068305
      0.724862 | 0.064006
      0.728007 | 0.059215
      0.731151 | 0.054040
      0.734296 | 0.048597
      0.737441 | 0.043000
      0.740586 | 0.037368
      0.743730 | 0.031814
      0.746875 | 0.026448
      0.750020 | 0.021373
      0.753165 | 0.016682
      0.756309 | 0.012459
      0.759454 | 0.008775
      0.762599 | 0.005688
      0.765744 | 0.003245
      0.768888 | 0.001474
      0.772033 | 0.000392
      0.775178 | 0.000002
      0.778323 | 0.000291
      0.781467 | 0.001235
      0.784612 | 0.002797
      0.787757 | 0.004929
      0.790901 | 0.007573
      0.794046 | 0.010664
      0.797191 | 0.014129
      0.800336 | 0.017891
      0.803480 | 0.021868
      0.806625 | 0.025978
      0.809770 | 0.030138
      0.812915 | 0.034266
      0.816059 | 0.038285
      0.819204 | 0.042119
      0.822349 | 0.045700
      0.825494 | 0.048967
